"",division_map,TaskName_map,sum_rank,sum_hours,total_people,task_rank_mean,task_hours_mean,task_value_exp_log,task_value_simple_weight,division_map_new_line
49,"Manual and physical: Manufacture, maintenance, or repair",building rapport,5.0,24.0,20,0.250000,1.200000,0.893439,0.060000,"Manual and physical:\nManufacture, maintenance, or repair"
50,"Manual and physical: Manufacture, maintenance, or repair",communicating,18.0,54.0,20,0.90,2.70,2.051874,0.4860,"Manual and physical:\nManufacture, maintenance, or repair"
51,"Manual and physical: Manufacture, maintenance, or repair",computer work,25.0,104.0,20,1.25,5.20,3.408707,1.3000,"Manual and physical:\nManufacture, maintenance, or repair"
52,"Manual and physical: Manufacture, maintenance, or repair",creativity,2.0,4.0,20,0.10,0.20,0.191669,0.0040,"Manual and physical:\nManufacture, maintenance, or repair"
53,"Manual and physical: Manufacture, maintenance, or repair",decision making,43.0,179.0,20,2.15,8.95,6.731871,3.8485,"Manual and physical:\nManufacture, maintenance, or repair"
54,"Manual and physical: Manufacture, maintenance, or repair",getting information,9.0,28.0,20,0.45,1.40,1.096369,0.1260,"Manual and physical:\nManufacture, maintenance, or repair"
55,"Manual and physical: Manufacture, maintenance, or repair",judging quality,46.0,159.0,20,2.30,7.95,6.921665,3.6570,"Manual and physical:\nManufacture, maintenance, or repair"
56,"Manual and physical: Manufacture, maintenance, or repair",managing,18.0,44.0,20,0.90,2.20,1.824184,0.3960,"Manual and physical:\nManufacture, maintenance, or repair"
57,"Manual and physical: Manufacture, maintenance, or repair",manual work,73.0,449.0,20,3.65,22.45,19.569015,16.3885,"Manual and physical:\nManufacture, maintenance, or repair"
58,"Manual and physical: Manufacture, maintenance, or repair",planning,33.0,70.0,20,1.65,3.50,3.432125,1.1550,"Manual and physical:\nManufacture, maintenance, or repair"
59,Manual and physical: Warehouse or logistics,admin,7.0,18.0,20,0.35,0.90,0.764606,0.0630,Manual and physical:\nWarehouse or logistics
60,Manual and physical: Warehouse or logistics,analysing data,6.0,65.0,20,0.30,3.25,1.681080,0.1950,Manual and physical:\nWarehouse or logistics
61,Manual and physical: Warehouse or logistics,building rapport,11.0,47.0,20,0.55,2.35,1.591633,0.2585,Manual and physical:\nWarehouse or logistics
62,Manual and physical: Warehouse or logistics,communicating,61.0,298.0,20,3.05,14.90,12.711633,9.0890,Manual and physical:\nWarehouse or logistics
63,Manual and physical: Warehouse or logistics,computer work,10.0,87.0,20,0.50,4.35,2.153435,0.4350,Manual and physical:\nWarehouse or logistics
64,Manual and physical: Warehouse or logistics,creativity,6.0,10.0,20,0.30,0.50,0.471083,0.0300,Manual and physical:\nWarehouse or logistics
65,Manual and physical: Warehouse or logistics,decision making,42.0,154.0,20,2.10,7.70,6.182022,3.2340,Manual and physical:\nWarehouse or logistics
66,Manual and physical: Warehouse or logistics,getting information,25.0,113.0,20,1.25,5.65,3.539610,1.4125,Manual and physical:\nWarehouse or logistics
67,Manual and physical: Warehouse or logistics,judging quality,12.0,116.0,20,0.60,5.80,2.587575,0.6960,Manual and physical:\nWarehouse or logistics
68,Manual and physical: Warehouse or logistics,managing,16.0,58.0,20,0.80,2.90,2.030338,0.4640,Manual and physical:\nWarehouse or logistics
69,Manual and physical: Warehouse or logistics,manual work,46.0,300.0,20,2.30,15.00,8.756370,6.9000,Manual and physical:\nWarehouse or logistics
70,Manual and physical: Warehouse or logistics,planning,50.0,150.0,20,2.5,7.5,7.469565,3.75,Manual and physical:\nWarehouse or logistics
